"","estrato1","sex","age","oficio","relab","impa","maxEducLevel","college","regSalud","cotPension","totalHoursWorked","formal","cuentaPropia","microEmpresa","sizeFirm","y_total_m","ln_y","age2","Mujer"
"7720","4","1",40,"97","1",1221200,"5","1","1","1",48,"1","0","0","4",1221200,14.0153445398429,1600,0
"7721","4","1",19,"55","1",869453,"5","1","1","2",48,"0","0","1","2",869453,13.6756195572614,361,0
"7722","4","0",31,"2","4",5e+06,"6","0","1","1",30,"1","1","0","5",5e+06,15.4249484703984,961,1
"7723","3","1",60,"88","4",1e+05,"6","0","1","2",4,"0","1","1","1",1e+05,11.5129254649702,3600,0
"7724","3","0",58,"2","1",0,"6","0","1","1",48,"1","0","0","5",3171343.5390625,14.9696658854204,3364,1
"7725","3","0",24,"44","1",1800000,"6","0","1","1",48,"1","0","0","5",1800000,14.4032972228664,576,1
"7726","3","1",22,"39","1",869453,"5","1","1","1",48,"1","0","0","5",869453,13.6756195572614,484,0
"7727","3","1",30,"53","1",1400000,"5","1","1","2",77,"0","0","1","2",1400000,14.1519827945855,900,0
"7728","3","0",27,"53","1",1064000,"5","1","1","2",70,"0","0","1","2",1064000,13.8775459488837,729,1
"7729","3","1",28,"97","1",1200000,"5","1","1","2",70,"0","0","0","5",1200000,13.9978321147582,784,0
"7730","3","1",22,"53","1",770000,"5","1","1","2",60,"0","0","1","2",770000,13.5541457938299,484,0
"7731","3","1",19,"45","1",9e+05,"5","1","1","2",52,"0","0","0","3",9e+05,13.7101500423064,361,0
"7732","3","1",52,"97","1",6e+05,"6","0","1","2",68,"0","0","0","3",6e+05,13.3046849341983,2704,0
"7733","4","1",41,"21","4",1500000,"6","0","1","2",48,"0","1","1","1",1500000,14.2209756660724,1681,0
"7734","4","0",30,"11","1",1979166.66666667,"6","0","1","1",48,"1","0","0","4",1979166.625,14.4981864176043,900,1
"7735","4","0",24,"3","1",1250000,"6","0","1","1",48,"1","0","0","4",1250000,14.0386541092785,576,1
"7736","4","1",52,"8","1",0,"6","0","1","1",106,"1","0","0","5",4732314.25,15.3699249114274,2704,0
"7737","4","0",47,"6","4",1200000,"6","0","1","1",24,"1","1","0","5",1200000,13.9978321147582,2209,1
"7738","4","0",48,"21","1",2841666.66666667,"5","1","1","1",48,"1","0","0","5",2841666.75,14.8599013217913,2304,1
"7739","4","1",49,"80","1",917377.666666667,"4","0","1","1",48,"1","0","0","4",917377.6875,13.7292745393975,2401,0
"7740","4","0",26,"16","1",1.5e+07,"6","0","1","1",48,"1","0","1","2",1.5e+07,16.5235607590665,676,1
"7741","3","0",32,"45","4",790000,"5","1","1","2",8,"0","1","1","1",790000,13.5797882244432,1024,1
